,Topic_names,Topic_tags
0,Topic 0,"['use', 'instead', 'server', 'javascript', 'jquery', 'library', 'asyncawait', 'class', 'variable', 'async']"
1,Topic 1,"['array', 'object', 'javascript', 'json', 'numpy', 'element', 'convert', 'return', 'list', 'type']"
2,Topic 2,"['android', 'studio', 'gradle', 'device', 'google', 'library', 'activity', 'map', 'bluetooth', 'button']"
3,Topic 3,"['file', 'upload', 'read', 'download', 'directory', 'csv', 'large', 'input', 'write', 'load']"
4,Topic 4,"['python', 'script', 'run', 'selenium', 'install', 'opencv', 'window', 'list', 'module', 'package']"
5,Topic 5,"['spring', 'boot', 'jpa', 'security', 'rest', 'application', 'hibernate', 'query', 'configure', 'controller']"
6,Topic 6,"['vs', 'performance', 'code', 'service', 'nodejs', 'model', 'jquery', 'event', 'reference', 'stream']"
7,Topic 7,"['ios', 'app', 'swift', 'xcode', 'notification', 'video', 'io', 'push', 'simulator', 'view']"
8,Topic 8,"['data', 'post', 'json', 'request', 'send', 'form', 'jpa', 'query', 'frame', 'jquery']"
9,Topic 9,"['panda', 'dataframe', 'column', 'value', 'multiple', 'row', 'spark', 'list', 'table', 'groupby']"
10,Topic 10,"['api', 'aspnet', 'web', 'mvc', 'authentication', 'core', 'rest', 'application', 'token', 'google']"
11,Topic 11,"['difference', 'whats', 'class', 'reference', 'jpa', 'hibernate', 'key', 'jquery', 'static', 'module']"
12,Topic 12,"['image', 'opencv', 'save', 'size', 'upload', 'canvas', 'display', 'resize', 'add', 'convert']"
13,Topic 13,"['function', 'return', 'test', 'javascript', 'class', 'parameter', 'cloud', 'arrow', 'async', 'pointer']"
14,Topic 14,"['string', 'convert', 'date', 'format', 'swift', 'character', 'int', 'remove', 'time', 'split']"
15,Topic 15,"['change', 'color', 'bar', 'text', 'io', 'button', 'bootstrap', 'background', 'navigation', 'status']"
16,Topic 16,"['error', 'install', 'fail', 'http', 'xcode', 'module', 'code', 'load', 'instal', 'request']"
17,Topic 17,"['studio', 'visual', 'work', 'test', 'project', 'run', 'code', 'unit', 'build', 'window']"
18,Topic 18,"['create', 'window', 'custom', 'database', 'view', 'new', 'nodejs', 'table', 'programmatically', 'swift']"
19,Topic 19,"['java', 'method', 'class', 'stream', 'type', 'faster', 'memory', 'maven', 'way', 'interface']"
